事故ID,事故时间,城市,所在区域,道路名称,事故类型,天气情况,道路类型,照明条件,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级,是否高峰,是否周末,月份,星期,来源
148,2024-07-29 19:09:21,北京市,朝阳区,西西街,追尾,晴,支路,黄昏,1,0,25.9,58.0,17.4,0.6,一般,1,0,7,1,simulation
149,2025-01-31 15:11:14,北京市,西城区,北北快速路,刮擦,雪,高速公路,白天,2,0,5.4,93.0,1.5,1.0,一般,0,0,1,5,simulation
150,2025-01-02 19:05:35,北京市,大兴区,大中快速路,刮擦,多云,支路,黄昏,0,0,4.8,69.0,15.6,2.1,轻微,1,0,1,4,simulation
151,2023-01-21 18:43:56,北京市,石景山区,东环街,行人事故,晴,高速公路,黄昏,0,0,-0.3,67.0,9.3,1.4,轻微,1,1,1,6,simulation
152,2023-11-10 07:15:01,北京市,石景山区,大中环路,刮擦,阴,城市次干道,白天,1,0,19.3,45.0,17.7,1.8,一般,1,0,11,5,simulation
153,2023-01-16 08:52:13,北京市,丰台区,南中高速公路,侧面碰撞,多云,高速公路,白天,0,0,2.6,65.0,19.3,6.4,轻微,1,0,1,1,simulation
154,2023-11-07 17:47:05,北京市,朝阳区,东大环路,侧面碰撞,多云,支路,白天,3,0,13.2,57.0,17.4,0.9,一般,1,0,11,2,simulation
155,2024-07-07 10:52:57,北京市,朝阳区,中中快速路,单车事故,雷阵雨,城市次干道,白天,0,0,24.3,35.0,6.5,0.2,轻微,0,1,7,7,simulation
156,2023-06-10 07:16:01,北京市,昌平区,北中环路,侧面碰撞,阴,城市次干道,白天,1,0,24.4,67.0,19.1,2.9,轻微,1,1,6,6,simulation
157,2024-04-14 04:10:41,北京市,石景山区,大中大道,多车连环,小雨,高速公路,夜间有照明,0,0,14.3,60.0,3.9,2.5,轻微,0,1,4,7,simulation
158,2025-11-02 18:00:31,北京市,朝阳区,北东路,多车连环,多云,城市次干道,黄昏,1,0,18.2,51.0,10.8,3.9,一般,1,1,11,7,simulation
159,2024-06-20 18:42:48,北京市,大兴区,环西街,多车连环,大雨,城市主干道,黄昏,3,0,30.6,65.0,1.3,0.1,一般,1,0,6,4,simulation
160,2024-11-07 19:20:35,北京市,通州区,大西路,追尾,阴,城市次干道,黄昏,1,0,15.5,38.0,15.1,2.2,一般,1,0,11,4,simulation
161,2023-09-29 08:14:59,北京市,昌平区,大南环路,刮擦,小雨,支路,白天,0,0,15.3,61.0,6.5,2.4,轻微,1,0,9,5,simulation
162,2025-02-02 08:26:15,北京市,大兴区,北北路,刮擦,阴,支路,白天,0,0,-3.0,60.0,14.5,6.5,轻微,1,1,2,7,simulation
163,2024-11-15 17:39:02,北京市,昌平区,北北快速路,多车连环,晴,城市主干道,白天,0,0,17.5,45.0,18.4,0.8,轻微,1,0,11,5,simulation
164,2023-04-30 07:16:54,北京市,石景山区,北环街,刮擦,晴,高速公路,白天,0,0,16.3,52.0,17.5,6.3,轻微,1,1,4,7,simulation
165,2024-07-20 18:48:06,北京市,大兴区,南南快速路,侧面碰撞,晴,匝道,黄昏,3,0,27.7,36.0,12.5,2.7,严重,1,1,7,6,simulation
166,2024-05-20 08:36:21,北京市,西城区,南环环路,追尾,阴,城市主干道,白天,3,0,26.3,57.0,12.3,2.4,严重,1,0,5,1,simulation
167,2025-07-06 07:16:08,北京市,朝阳区,北中快速路,追尾,多云,支路,白天,2,0,28.6,55.0,11.7,1.5,一般,1,1,7,7,simulation
168,2025-12-16 17:13:29,北京市,丰台区,大西大道,翻车,晴,城市次干道,白天,0,0,3.3,61.0,15.2,0.4,轻微,1,0,12,2,simulation
