事故ID,事故时间,所在区域,道路类型,事故类型,天气情况,受伤人数,死亡人数,温度(℃),湿度(%),能见度(km),风速(m/s),事故等级
17,2021-10-26 16:54:59.064114404,丰台区,城市主干道,追尾,雾天,1,1,6.0,24,2.1,13.2,轻微
18,2025-04-08 15:04:48.803088296,东城区,城市主干道,刮擦,雾天,4,0,27.4,56,16.2,17.9,一般
19,2021-02-03 20:54:02.898497844,海淀区,支路,刮擦,阴天,1,1,16.9,92,17.5,13.9,轻微
20,2024-03-22 19:12:13.807588760,石景山区,城市次干道,追尾,雾天,2,0,27.0,74,7.6,6.4,轻微
21,2022-06-18 10:09:35.031711168,西城区,高速公路,多车连环,雪天,1,0,8.2,61,19.9,5.9,一般
22,2022-04-07 21:01:40.864294424,丰台区,城市主干道,多车连环,雨天,0,1,17.5,25,18.0,17.9,一般
23,2025-04-23 14:16:34.113619352,石景山区,支路,单车事故,阴天,4,0,26.1,60,9.1,16.0,轻微
24,2025-10-22 13:34:22.340442040,丰台区,支路,多车连环,晴天,1,0,3.9,87,18.3,6.9,轻微
25,2021-12-07 12:02:12.187426736,东城区,高速公路,追尾,晴天,4,0,29.8,92,10.3,10.1,轻微
26,2024-05-16 17:42:56.471855176,西城区,高速公路,多车连环,阴天,1,1,10.1,52,13.1,18.2,轻微
27,2023-12-07 13:47:20.018209816,东城区,城市次干道,刮擦,雨天,2,0,33.3,49,3.5,12.1,一般
28,2022-06-25 12:59:48.533061304,东城区,城市次干道,刮擦,雾天,3,1,27.3,22,19.6,19.7,一般
29,2021-12-29 00:55:42.268434836,海淀区,城市次干道,多车连环,阴天,4,1,1.3,70,9.1,9.1,轻微
30,2025-05-02 08:32:13.807588760,海淀区,城市次干道,追尾,晴天,0,0,9.6,57,3.5,2.5,一般
31,2021-07-16 16:15:05.544762470,石景山区,高速公路,多车连环,雨天,3,0,-0.5,78,19.6,15.9,严重
32,2023-04-05 04:11:51.125320528,朝阳区,城市次干道,侧碰,晴天,1,0,33.6,41,8.4,8.2,轻微
33,2021-06-22 00:53:32.655473542,东城区,城市次干道,单车事故,晴天,3,0,34.3,86,8.0,13.7,轻微
34,2022-03-30 15:54:29.901198112,海淀区,城市次干道,侧碰,晴天,0,0,9.0,55,13.2,18.6,轻微
35,2025-11-30 10:36:22.232431224,东城区,城市主干道,侧碰,雨天,4,1,-4.6,29,4.6,15.0,轻微
36,2024-04-03 20:18:45.886796680,石景山区,城市主干道,追尾,阴天,1,1,14.4,85,13.4,11.1,轻微
37,2025-08-18 09:45:23.366544664,东城区,城市次干道,单车事故,晴天,1,0,20.6,23,0.6,10.1,轻微
38,2023-01-05 00:15:40.108218816,海淀区,支路,单车事故,雨天,0,0,3.5,57,14.6,2.2,轻微
39,2025-04-02 05:45:53.609568952,东城区,高速公路,单车事故,雨天,1,1,35.5,64,9.1,18.2,轻微
40,2025-01-04 10:46:27.092917288,东城区,城市次干道,追尾,雨天,1,1,14.6,40,14.7,12.6,轻微
41,2023-03-09 21:24:52.043412336,海淀区,城市次干道,侧碰,雨天,0,1,-3.4,77,13.9,14.5,轻微
42,2022-11-15 19:38:26.444852480,西城区,支路,追尾,晴天,4,1,-5.9,35,12.3,10.3,轻微
43,2023-11-14 18:14:02.898497848,东城区,城市次干道,刮擦,雨天,3,1,10.2,64,0.6,4.4,一般
44,2023-03-06 14:33:59.658173808,朝阳区,城市主干道,多车连环,雨天,3,1,34.9,27,1.8,7.1,一般
45,2021-03-08 21:45:36.327840779,东城区,城市次干道,刮擦,晴天,2,1,22.1,45,12.6,10.8,一般
46,2023-12-13 09:57:46.480856072,东城区,支路,侧碰,雨天,2,0,35.4,68,14.5,10.8,一般
47,2021-07-21 14:31:24.122620256,石景山区,高速公路,刮擦,雨天,3,1,37.0,70,14.2,15.7,轻微
48,2024-12-04 23:14:27.740982088,丰台区,城市次干道,刮擦,雾天,2,1,14.4,80,18.5,16.2,轻微
49,2023-08-12 05:10:02.034411432,石景山区,高速公路,多车连环,雪天,2,0,29.2,84,18.0,16.2,一般
50,2023-01-24 04:12:25.688776872,石景山区,城市主干道,刮擦,阴天,2,0,21.8,82,19.1,5.8,一般
51,2024-04-22 19:52:41.890397032,东城区,支路,多车连环,晴天,1,1,5.1,61,18.6,14.1,一般
52,2021-06-13 02:15:03.384546450,丰台区,城市次干道,刮擦,雨天,4,0,9.3,80,12.9,15.4,轻微
53,2022-04-13 21:34:56.903898384,石景山区,高速公路,侧碰,雪天,4,0,-8.9,37,0.2,1.8,轻微
54,2025-12-19 18:55:57.389947000,朝阳区,城市次干道,多车连环,雪天,3,0,29.1,61,7.7,8.0,轻微
55,2024-04-06 14:01:09.541162104,东城区,城市主干道,侧碰,雪天,0,1,2.3,49,6.0,12.7,轻微
56,2023-01-26 04:23:31.035311528,西城区,支路,刮擦,雾天,2,0,12.7,52,5.4,2.2,轻微
57,2022-03-21 21:38:50.207228720,石景山区,城市次干道,追尾,阴天,3,0,-8.9,33,5.3,5.7,轻微
58,2025-04-20 20:34:10.459253912,东城区,城市主干道,多车连环,雨天,2,1,29.0,72,11.1,10.2,轻微
59,2021-11-25 06:32:50.531261120,西城区,高速公路,追尾,雪天,2,1,38.5,38,11.4,5.5,轻微
60,2025-05-28 15:19:12.889496936,西城区,支路,侧碰,雪天,3,1,8.8,54,12.4,8.8,轻微
61,2022-12-16 15:56:04.950703064,丰台区,高速公路,追尾,雨天,2,0,-2.6,56,13.7,9.8,轻微
62,2023-06-08 23:15:10.945302520,海淀区,城市次干道,单车事故,雾天,1,0,22.3,34,11.8,19.6,一般
63,2025-12-26 04:14:52.583466328,石景山区,支路,多车连环,阴天,3,1,28.2,56,9.0,10.0,一般
64,2022-04-27 18:29:44.752683264,东城区,高速公路,追尾,雪天,4,1,7.2,37,11.3,11.9,严重
65,2025-09-21 17:16:43.834591448,石景山区,城市次干道,刮擦,雾天,0,1,-6.3,71,5.6,1.6,轻微
66,2023-03-20 11:28:47.506958688,东城区,城市主干道,侧碰,雨天,3,1,29.4,23,10.4,10.6,轻微
67,2025-02-09 09:43:13.753583352,海淀区,城市主干道,追尾,雾天,2,0,30.1,83,18.1,17.3,轻微
68,2022-04-23 09:21:54.905698568,海淀区,高速公路,单车事故,雨天,1,1,-3.4,69,10.7,3.6,一般
69,2021-02-15 17:37:45.400748069,海淀区,城市次干道,单车事故,阴天,1,0,38.1,33,15.0,10.8,轻微
70,2022-05-12 00:10:11.755383536,石景山区,支路,多车连环,晴天,1,1,30.1,86,0.3,18.9,轻微
71,2022-10-15 05:49:29.631171112,海淀区,城市次干道,侧碰,雾天,3,0,18.4,21,9.5,5.7,轻微
72,2021-02-02 09:51:26.282836278,西城区,高速公路,刮擦,雪天,3,0,-9.6,77,7.5,1.2,一般
73,2024-11-18 21:45:44.968704872,丰台区,高速公路,多车连环,雾天,3,0,7.3,79,7.2,9.9,轻微
74,2022-02-23 14:51:51.125320528,朝阳区,支路,追尾,雾天,1,1,22.8,31,4.7,16.3,轻微
75,2025-06-04 05:00:57.659973992,西城区,城市主干道,刮擦,晴天,4,0,33.3,52,12.7,9.0,轻微
76,2022-08-22 05:12:54.851693160,丰台区,城市主干道,追尾,雪天,4,0,24.3,50,12.1,16.1,轻微
77,2025-04-11 08:47:12.457453736,石景山区,支路,追尾,雪天,3,1,0.6,84,10.9,14.2,轻微
78,2025-09-03 11:14:06.138821880,西城区,城市次干道,单车事故,雨天,2,0,25.2,41,6.8,0.9,轻微
79,2022-10-26 22:10:22.556463640,东城区,高速公路,多车连环,雨天,4,1,-6.1,29,19.4,15.2,一般
80,2021-05-28 09:31:59.766184612,西城区,高速公路,单车事故,雪天,0,1,-3.9,58,8.5,12.2,轻微
81,2023-03-24 03:05:19.046112608,丰台区,城市主干道,刮擦,雪天,0,0,-1.8,36,13.3,15.6,轻微
82,2023-12-17 10:19:57.173925384,石景山区,高速公路,刮擦,雨天,1,1,26.5,51,4.4,9.1,轻微
83,2021-06-10 21:41:08.461054100,东城区,支路,追尾,雾天,3,0,23.0,56,4.8,2.0,轻微
84,2022-07-14 21:19:23.690577056,东城区,城市主干道,侧碰,晴天,3,0,-2.1,85,19.9,14.7,轻微
85,2021-10-12 20:00:11.215329528,海淀区,支路,多车连环,雾天,4,0,23.2,57,15.0,2.8,轻微
86,2025-12-09 13:37:41.080316024,石景山区,支路,追尾,雾天,3,0,1.5,60,7.7,4.9,轻微
87,2025-07-02 16:21:51.665374536,东城区,高速公路,刮擦,雨天,0,0,-9.4,43,6.8,1.0,轻微
88,2021-02-05 16:42:18.668074802,东城区,城市主干道,侧碰,雨天,1,1,-7.8,44,12.6,5.7,轻微
89,2025-10-01 05:03:41.836391640,朝阳区,城市主干道,多车连环,阴天,0,0,19.4,57,18.4,4.6,轻微
90,2025-05-03 06:26:21.692377224,石景山区,城市次干道,刮擦,阴天,0,1,36.9,65,12.7,6.2,严重
91,2025-04-04 10:19:48.533061304,西城区,城市次干道,多车连环,阴天,2,1,29.0,37,15.3,7.0,轻微
92,2023-03-31 05:55:32.547462744,朝阳区,城市次干道,刮擦,雨天,3,0,6.3,38,17.0,7.9,轻微
93,2024-07-24 13:08:26.984906488,西城区,高速公路,刮擦,雾天,3,1,33.2,69,12.0,17.0,严重
94,2022-07-05 18:18:04.842692264,丰台区,城市主干道,刮擦,阴天,1,0,6.1,85,9.3,1.1,一般
95,2023-06-04 00:58:52.367444744,东城区,城市次干道,追尾,雪天,4,0,18.6,69,4.6,15.2,轻微
96,2023-06-19 04:33:27.254933480,朝阳区,城市主干道,单车事故,雾天,3,0,0.2,52,9.2,7.4,轻微
97,2022-06-01 15:09:33.951603152,西城区,支路,多车连环,阴天,4,1,30.4,91,3.5,15.7,一般
98,2023-12-27 15:38:13.483556344,朝阳区,城市次干道,侧碰,雪天,1,0,5.3,65,17.3,3.4,一般
99,2025-12-30 04:37:03.276535640,海淀区,城市次干道,单车事故,雾天,3,1,31.3,70,1.0,11.2,轻微
100,2025-12-27 02:09:00.468254808,丰台区,支路,追尾,雾天,0,1,19.9,23,1.5,2.8,轻微
101,2021-03-03 19:06:28.173025297,西城区,支路,侧碰,雾天,1,1,8.6,49,16.3,3.5,轻微
102,2022-04-25 18:18:39.406148608,西城区,城市次干道,刮擦,雨天,1,0,29.8,47,10.6,4.3,轻微
103,2024-08-22 18:00:39.298137800,西城区,城市主干道,追尾,阴天,1,1,12.5,44,18.8,6.4,轻微
104,2021-02-01 16:20:07.975005495,东城区,城市主干道,追尾,晴天,0,1,4.5,26,11.0,0.1,轻微
105,2022-02-04 10:55:05.544762472,朝阳区,城市次干道,刮擦,晴天,1,1,-0.2,59,5.8,12.8,轻微
106,2022-08-20 13:47:28.659073904,丰台区,支路,侧碰,阴天,3,1,15.9,39,17.8,15.3,轻微
107,2025-08-19 12:02:20.828290808,石景山区,高速公路,多车连环,雾天,0,0,7.8,35,9.4,5.5,一般
108,2021-04-05 02:26:43.294537448,石景山区,城市主干道,追尾,晴天,2,0,-7.4,58,15.2,3.1,轻微
109,2022-10-17 06:00:34.977705768,西城区,支路,侧碰,晴天,1,1,19.3,48,19.2,19.3,轻微
110,2024-12-19 04:54:54.743682360,石景山区,支路,侧碰,雪天,4,1,-0.6,91,10.5,1.7,轻微
111,2024-05-13 06:29:14.509658968,丰台区,高速公路,刮擦,阴天,1,1,19.7,82,11.8,11.8,一般
112,2021-10-17 13:53:40.216229616,丰台区,城市次干道,刮擦,雨天,1,0,27.7,31,9.9,3.8,严重
113,2022-10-15 14:35:08.785086504,石景山区,城市次干道,多车连环,晴天,0,0,16.5,82,1.6,2.5,轻微
114,2023-06-21 00:21:43.024510440,海淀区,城市主干道,刮擦,阴天,4,0,-4.7,51,9.2,11.4,轻微
115,2024-10-15 23:00:03.654573448,西城区,高速公路,侧碰,晴天,0,0,19.3,40,4.8,0.4,一般
116,2021-09-19 20:04:04.518659860,海淀区,高速公路,多车连环,雪天,3,0,24.8,65,1.3,0.4,轻微
117,2021-12-31 23:00:55.499757972,东城区,高速公路,单车事故,阴天,0,0,33.4,73,5.0,12.0,轻微
118,2023-12-28 13:32:21.368344824,朝阳区,城市主干道,单车事故,晴天,0,1,36.6,67,15.0,4.8,轻微
119,2021-07-04 02:00:04.734681462,朝阳区,城市次干道,追尾,晴天,2,1,13.3,87,3.9,8.2,轻微
120,2022-02-13 00:47:55.661774172,东城区,城市主干道,侧碰,雪天,2,1,3.3,88,15.9,17.5,轻微
121,2022-08-02 12:07:40.540262024,海淀区,支路,侧碰,晴天,2,1,18.3,37,11.7,5.8,一般
122,2023-04-19 01:06:38.974105408,朝阳区,城市主干道,刮擦,晴天,3,1,-8.0,26,17.0,16.2,严重
123,2021-09-15 10:56:14.671675160,海淀区,城市次干道,追尾,雪天,4,1,37.4,42,13.7,10.4,一般
124,2024-08-18 13:15:39.028110808,海淀区,城市次干道,单车事故,晴天,2,0,22.6,26,17.4,1.4,一般
125,2022-09-10 22:18:09.163124304,朝阳区,支路,单车事故,雾天,3,1,15.4,71,2.3,17.6,轻微
126,2023-07-03 05:51:04.680676056,西城区,高速公路,追尾,雪天,2,0,-9.6,24,13.1,10.7,轻微
127,2025-05-07 06:48:32.385446536,丰台区,高速公路,刮擦,阴天,4,0,36.1,71,5.7,16.9,轻微
128,2022-01-01 20:55:03.384546448,东城区,城市次干道,单车事故,雪天,2,0,27.5,83,3.0,9.5,轻微
129,2024-02-13 06:55:53.069514952,石景山区,高速公路,单车事故,阴天,2,1,6.1,63,0.3,8.8,轻微
130,2023-03-12 10:44:26.120820080,石景山区,支路,刮擦,雾天,0,0,-6.0,24,11.2,19.2,轻微
131,2025-11-29 12:42:14.347642744,西城区,高速公路,单车事故,雨天,1,1,16.3,20,19.4,6.2,一般
132,2024-05-09 10:29:53.393547352,东城区,支路,追尾,阴天,0,1,19.3,30,13.6,13.7,严重
133,2022-10-22 13:02:32.709478944,石景山区,城市次干道,刮擦,晴天,3,1,-8.2,78,6.4,10.1,严重
134,2022-12-09 13:05:51.449352928,西城区,城市主干道,追尾,雨天,1,0,0.5,52,9.0,2.8,一般
135,2023-05-18 01:36:01.710379032,西城区,城市次干道,追尾,雾天,2,1,17.7,77,11.3,1.7,轻微
136,2023-09-24 11:19:51.773385336,东城区,城市主干道,多车连环,雾天,3,0,3.0,76,14.3,12.1,轻微
137,2021-04-12 18:25:25.526760671,东城区,城市次干道,单车事故,雾天,1,1,2.1,44,15.5,19.2,轻微
138,2024-08-02 03:01:17.101918184,东城区,城市次干道,追尾,阴天,0,0,28.9,50,4.3,7.1,轻微
139,2024-02-12 22:10:13.915599560,丰台区,城市次干道,追尾,晴天,2,0,-8.7,30,10.0,2.1,严重
140,2025-07-03 01:07:30.819289928,朝阳区,城市次干道,多车连环,阴天,3,1,35.9,22,14.3,3.6,轻微
141,2021-12-06 18:30:53.879595956,丰台区,支路,刮擦,雾天,1,1,-2.1,46,11.6,12.5,轻微
142,2024-04-15 03:53:59.658173816,东城区,高速公路,侧碰,晴天,4,0,12.9,26,13.9,19.9,一般
143,2025-12-02 15:10:17.155923576,海淀区,城市次干道,侧碰,雾天,1,1,28.2,45,7.4,4.3,轻微
144,2024-04-24 06:55:18.506058600,朝阳区,城市主干道,追尾,雪天,2,0,38.3,45,3.0,2.8,轻微
145,2022-04-24 16:01:41.944402432,石景山区,高速公路,刮擦,雨天,3,1,1.8,30,2.6,13.5,严重
146,2021-09-23 20:26:15.211729168,朝阳区,支路,追尾,晴天,0,0,0.8,25,16.0,0.5,轻微
147,2022-03-01 06:39:28.011009096,东城区,支路,单车事故,雾天,1,0,-8.3,76,0.2,11.7,轻微
148,2023-11-12 09:17:18.398047800,东城区,高速公路,追尾,晴天,3,0,7.8,64,11.3,19.4,一般
149,2021-09-24 13:57:33.519559952,朝阳区,高速公路,侧碰,雪天,1,0,30.6,76,13.3,3.8,轻微
150,2022-07-26 13:40:16.615869584,东城区,城市主干道,单车事故,雪天,4,0,21.8,94,2.9,15.2,严重
151,2025-02-24 17:40:38.218029800,石景山区,城市主干道,多车连环,阴天,3,1,-2.9,80,17.8,10.7,轻微
152,2021-11-03 08:53:41.296337628,石景山区,城市主干道,侧碰,雾天,4,0,20.1,29,5.8,5.9,轻微
153,2023-12-20 08:25:10.405248520,丰台区,城市次干道,刮擦,晴天,4,1,-3.7,44,8.0,2.8,轻微
154,2023-04-25 06:02:44.590667064,东城区,城市次干道,多车连环,晴天,0,0,20.3,49,11.5,0.9,严重
155,2023-10-02 12:04:13.159523944,海淀区,城市次干道,侧碰,雨天,1,1,17.4,38,10.7,15.4,轻微
156,2021-06-30 23:32:01.926400634,西城区,城市主干道,多车连环,雾天,0,0,-7.9,47,11.3,3.4,轻微
157,2022-11-09 14:42:20.828290824,西城区,城市次干道,多车连环,阴天,2,1,5.3,68,8.4,12.3,一般
158,2022-03-26 06:46:40.054213416,石景山区,高速公路,多车连环,晴天,3,1,18.7,51,17.6,11.7,轻微
159,2021-10-05 04:01:28.983106304,西城区,高速公路,侧碰,雾天,1,1,8.3,91,11.3,13.2,轻微
160,2024-07-22 08:34:32.061414136,西城区,城市主干道,刮擦,雨天,0,1,-4.1,69,10.7,16.8,轻微
161,2024-10-04 19:47:39.460154008,海淀区,城市次干道,单车事故,雪天,0,1,6.8,78,7.7,15.7,轻微
162,2026-01-01 00:25:19.046112600,丰台区,支路,多车连环,雨天,4,1,32.4,21,1.6,10.0,一般
163,2025-06-06 09:34:52.583466344,东城区,支路,刮擦,雪天,1,0,2.8,32,8.1,14.8,轻微
164,2025-07-17 19:56:26.552863288,石景山区,高速公路,多车连环,雪天,1,1,24.3,41,4.9,4.1,轻微
165,2021-01-10 09:55:19.586166611,海淀区,高速公路,单车事故,雪天,0,1,18.1,88,17.5,10.9,轻微
166,2021-12-16 01:55:02.304438440,朝阳区,城市次干道,侧碰,雨天,3,0,3.3,49,14.5,5.5,轻微
167,2024-06-02 03:57:18.398047800,丰台区,高速公路,刮擦,雪天,0,0,19.1,35,4.4,4.4,严重
168,2022-04-22 07:04:57.443952392,东城区,高速公路,刮擦,雪天,1,1,25.0,34,8.8,0.6,轻微
169,2021-08-19 19:23:36.435851580,石景山区,高速公路,单车事故,雾天,4,0,20.3,86,6.7,17.9,轻微
170,2025-05-25 08:28:20.504258424,丰台区,支路,单车事故,阴天,3,1,20.5,79,16.5,2.9,轻微
171,2023-12-01 04:28:24.824690456,西城区,高速公路,单车事故,阴天,4,1,-2.6,28,15.5,5.9,一般
172,2024-09-07 23:52:11.647372728,丰台区,高速公路,侧碰,晴天,2,1,5.4,48,9.6,8.7,轻微
173,2023-05-17 12:27:32.979505944,朝阳区,支路,追尾,雪天,3,0,23.2,89,9.9,13.9,轻微
174,2025-03-11 12:29:33.951603160,丰台区,高速公路,单车事故,雪天,4,1,32.8,59,10.0,3.3,轻微
175,2021-05-13 19:05:53.609568952,石景山区,支路,追尾,晴天,3,1,24.3,46,12.9,4.4,轻微
176,2023-01-19 01:33:17.533961392,朝阳区,支路,刮擦,阴天,0,0,-7.8,65,14.4,18.1,轻微
177,2022-02-05 21:57:42.160424036,朝阳区,高速公路,刮擦,雨天,3,1,3.3,87,3.0,14.4,轻微
178,2021-11-05 13:27:36.219829976,西城区,支路,多车连环,雾天,4,0,30.7,38,5.3,19.5,轻微
179,2021-06-25 12:07:14.617669762,西城区,支路,单车事故,阴天,0,1,0.2,27,14.5,5.6,轻微
180,2025-07-30 10:11:27.362944296,海淀区,城市次干道,侧碰,雾天,3,1,28.6,69,12.0,12.2,轻微
181,2025-10-15 15:06:58.416049592,朝阳区,城市次干道,刮擦,雪天,1,0,2.7,47,9.8,6.2,轻微
182,2022-05-10 04:21:55.985806576,丰台区,支路,追尾,晴天,1,1,37.9,54,15.8,14.0,一般
183,2025-10-31 03:27:12.457453752,朝阳区,城市次干道,侧碰,阴天,1,0,21.2,47,11.0,2.2,轻微
184,2022-09-12 18:06:24.932701264,朝阳区,城市主干道,追尾,阴天,3,1,-6.3,38,12.1,7.6,轻微
185,2022-09-24 19:12:57.011909184,西城区,高速公路,侧碰,阴天,0,1,12.5,29,8.4,13.7,轻微
186,2025-06-01 15:41:23.582566248,朝阳区,城市次干道,多车连环,雪天,2,1,25.2,83,11.2,19.0,轻微
187,2021-04-29 13:25:26.606868682,丰台区,城市次干道,多车连环,晴天,2,0,0.3,81,16.0,0.7,轻微
188,2024-06-05 15:11:00.360244024,海淀区,支路,追尾,雨天,1,1,39.5,72,11.8,10.3,轻微
189,2025-12-20 12:27:15.697777784,东城区,高速公路,单车事故,雪天,4,0,19.3,76,18.5,19.6,轻微
190,2024-06-14 13:49:29.631171112,石景山区,城市次干道,多车连环,雪天,2,0,19.2,48,15.8,3.7,一般
191,2023-05-04 13:26:53.015509544,西城区,支路,单车事故,阴天,0,0,-0.6,34,8.4,13.3,一般
192,2023-09-09 12:08:06.462854280,石景山区,城市次干道,刮擦,晴天,4,1,28.8,43,13.1,15.0,一般
193,2023-12-28 00:23:52.637471736,西城区,支路,多车连环,雪天,4,0,11.2,69,15.3,4.9,一般
194,2023-08-05 02:19:48.533061304,丰台区,城市主干道,追尾,阴天,0,1,16.0,66,4.2,16.4,轻微
195,2021-09-18 13:24:17.479955992,石景山区,城市主干道,单车事故,晴天,0,0,13.2,68,16.2,6.3,一般
196,2024-07-11 05:22:07.866994696,东城区,城市次干道,刮擦,阴天,2,0,1.8,78,16.7,2.6,严重
197,2022-07-05 00:46:46.534861480,丰台区,城市次干道,单车事故,雾天,2,0,-4.5,82,12.0,17.2,轻微
198,2024-09-05 01:46:58.416049592,石景山区,城市次干道,追尾,晴天,1,1,20.1,42,16.3,0.9,严重
199,2024-11-22 00:13:47.776985688,西城区,城市主干道,刮擦,雨天,2,0,13.5,45,11.3,12.5,轻微
200,2021-03-16 04:58:39.406148609,东城区,城市主干道,多车连环,晴天,4,1,7.7,24,8.5,16.7,轻微
201,2024-08-01 18:15:37.948002792,海淀区,城市主干道,单车事故,雾天,2,1,26.6,86,13.0,13.8,一般
202,2023-06-19 17:41:55.985806568,朝阳区,高速公路,多车连环,雾天,0,0,16.5,92,12.5,18.7,轻微
203,2025-06-20 06:29:40.432251224,朝阳区,支路,侧碰,阴天,4,1,31.4,90,14.3,0.5,一般
204,2021-04-02 17:29:58.794087403,朝阳区,城市主干道,单车事故,阴天,4,1,13.2,20,11.8,9.9,一般
205,2023-04-06 15:14:27.740982096,石景山区,高速公路,刮擦,晴天,2,0,5.1,39,7.9,15.5,严重
206,2024-10-27 10:58:07.002908280,朝阳区,城市主干道,单车事故,阴天,0,1,20.1,78,1.7,9.2,轻微
207,2025-11-28 23:33:45.616769656,海淀区,支路,刮擦,雾天,1,1,-5.5,89,10.8,14.5,一般
208,2023-10-06 16:49:13.429550952,丰台区,城市主干道,追尾,阴天,2,0,-4.5,48,10.0,16.1,轻微
209,2024-07-30 22:27:22.178425832,丰台区,支路,多车连环,晴天,1,0,15.4,45,15.3,15.2,一般
210,2023-02-25 20:18:19.964204416,朝阳区,城市主干道,刮擦,雾天,0,1,34.8,68,10.2,19.0,轻微
211,2022-06-15 12:04:21.800388032,石景山区,支路,侧碰,晴天,4,0,10.6,41,11.4,14.5,轻微
212,2021-05-30 00:57:25.958803874,石景山区,城市次干道,刮擦,雨天,1,1,17.0,48,3.4,7.7,轻微
213,2024-10-01 04:11:07.921000088,东城区,城市次干道,刮擦,雾天,2,0,33.8,78,11.9,12.7,轻微
214,2024-09-12 22:08:30.225230520,海淀区,城市主干道,多车连环,晴天,3,0,30.2,69,11.0,16.4,轻微
215,2022-08-03 14:24:38.002008192,东城区,城市次干道,刮擦,雪天,0,1,-0.3,23,17.8,8.6,轻微
216,2025-03-05 20:41:57.065914584,丰台区,城市主干道,追尾,雾天,0,1,30.2,71,10.0,4.5,轻微
217,2025-08-21 20:59:05.328740856,东城区,支路,侧碰,晴天,1,1,20.0,64,16.2,17.8,轻微
218,2023-08-25 08:33:31.575365528,东城区,城市主干道,多车连环,晴天,1,1,-9.8,85,11.4,14.3,轻微
219,2024-02-19 07:29:09.109118904,朝阳区,城市主干道,刮擦,雪天,0,0,5.3,66,6.6,4.3,一般
220,2021-06-08 08:21:34.383646360,朝阳区,城市主干道,追尾,雪天,2,1,29.4,24,15.4,12.1,轻微
221,2024-09-25 21:09:10.189226920,海淀区,高速公路,侧碰,阴天,1,0,20.2,64,15.1,2.5,轻微
222,2022-08-03 05:38:58.848092800,东城区,城市主干道,追尾,雨天,4,1,15.1,59,16.2,17.0,一般
223,2024-05-28 18:49:28.551063096,丰台区,高速公路,单车事故,阴天,4,0,-8.9,38,9.4,16.5,轻微
224,2024-07-05 04:48:51.827390728,丰台区,城市主干道,多车连环,雾天,4,1,33.5,23,10.2,18.0,轻微
225,2023-10-24 09:43:22.394447432,海淀区,城市次干道,刮擦,雨天,2,0,-2.7,55,8.4,14.3,轻微
226,2024-09-15 02:42:25.148722872,西城区,高速公路,单车事故,晴天,2,0,-8.8,36,10.4,12.9,一般
227,2023-12-19 19:16:41.674375432,朝阳区,高速公路,单车事故,阴天,3,0,-1.0,35,5.8,4.6,轻微
228,2022-02-09 17:57:03.276535648,东城区,城市次干道,刮擦,雨天,1,1,9.8,69,2.4,5.2,轻微
229,2021-01-15 08:11:38.164024397,东城区,高速公路,刮擦,雾天,4,0,21.5,39,19.3,4.0,一般
230,2023-05-20 23:41:14.941702168,石景山区,高速公路,单车事故,雾天,3,0,-7.8,84,7.8,3.3,轻微
231,2025-07-10 21:29:02.628470840,海淀区,支路,单车事故,阴天,3,0,9.0,24,6.1,12.2,一般
232,2025-10-23 15:51:19.802188216,海淀区,支路,单车事故,雾天,0,0,-8.5,59,13.5,4.8,一般
